"station_id","station_name","lon","lat","city","city_sn","town","town_sn"
"C0AC40","大屯山","121.514167","25.177333","臺北市","01","北投區","006"
"C0I540","奇萊稜線A","121.318297","24.111019","南投縣","13","仁愛鄉","122"
"C0I420","國姓","120.846925","24.039567","南投縣","13","國姓鄉","139"
"C0V620","永安","120.228806","22.824944","高雄市","05","永安區","293"
"C0R470","高樹","120.592722","22.828222","屏東縣","20","高樹鄉","290"
"C0K430","褒忠","120.295503","23.692672","雲林縣","16","褒忠鄉","191"
"C0H960","草屯","120.672194","23.975444","南投縣","13","草屯鎮","152"
"C0A930","三和","121.586997","25.234933","新北市","06","金山區","003"
"C0Z100","東華","121.541694","23.897056","花蓮縣","21","壽豐鄉","161"
"C0AI00","五股","121.419053","25.076228","新北市","06","五股區","017"
"C0V350","溪埔","120.438611","22.740278","高雄市","05","大樹區","300"
"C0V500","旗津","120.277889","22.590417","高雄市","05","旗津區","329"
"C0Z170","卓溪","121.295197","23.346047","花蓮縣","21","卓溪鄉","207"
"C0U710","太平山","121.5175","24.507222","宜蘭縣","07","大同鄉","081"
"C0W120","西嶼","119.460328","23.564311","澎湖縣","23","西嶼鄉","200"
"C0M770","嘉義梅山","120.547464","23.587147","嘉義縣","17","梅山鄉","210"
"C0A9B0","石牌","121.505889","25.117583","臺北市","01","北投區","006"
"C0F9Y0","桃山A","121.295628","24.434519","臺中市","02","和平區","104"
"C0E790","卓蘭","120.816194","24.314833","苗栗縣","11","卓蘭鎮","109"
"C0O810","曾文","120.489222","23.221472","臺南市","04","楠西區","246"
"C0R520","崁頂","120.498972","22.516639","屏東縣","20","崁頂鄉","334"
"C0G880","二水","120.609028","23.812778","彰化縣","14","二水鄉","177"
"C0X270","柳營","120.365458","23.258981","臺南市","04","柳營區","238"
"C0G840","北斗","120.506528","23.879222","彰化縣","14","北斗鎮","171"
"C0Z220","和平林道","121.648142","24.345722","花蓮縣","21","秀林鄉","108"
"C0R260","春日","120.62025","22.372167","屏東縣","20","春日鄉","343"
"C0U770","南澳","121.802036","24.451153","宜蘭縣","07","南澳鄉","093"
